id	date	tags	likes	dislikes	count_comments	count_views	duration	sec_duration
JDYEzkIC59E	2019-11-25T10:57:20.000Z	['Legion Y540', 'Legion Y540-17', 'выбор ноутбука', 'как выбрать ноутбук для работы', 'как выбрать ноутбук для игр']	5970	132	711	86361	PT10M55S	655
THLPgrgEbko	2019-11-23T16:08:22.000Z	['3950X', '2950X', 'Ryzen 9 3950X', 'Threadripper', '16 ядер', 'тест процессоров.', 'процессор для работы', 'workstation']	7627	83	599	78864	PT11M13S	673
YxjQDzCS4_Q	2019-11-21T07:55:16.000Z	['1660', '1660 ti', '1660 super', 'super', 'palit', 'gigabyte', 'сравнение видеокарт', 'nvidia']	9106	90	655	108376	PT6M1S	361
KxwLugXRw8c	2019-11-16T11:06:46.000Z	['выбор ноутбука 14', 'выбор ноутбука 15.6', 'MSI Prestige', 'ноутбук', 'ультрабук', 'выбор ноутбука', 'ноутбук для работы', 'можно ли брать msi', 'MSI Prestige 14 A10SC', 'Intel Core i7 10710U (Comet Lake)']	6285	518	1024	89394	PT19M2S	1142
1p902n9OK98	2019-11-15T20:34:02.000Z	['Intel Core i9-9900KS', 'Intel Core i9-9900K', 'тест процессора']	5778	264	800	76124	PT9M49S	589
Ubiw9xULvvs	2019-11-14T17:58:32.000Z	['Тест Ryzen 9 3950X', 'Ryzen 9 3950X']	10323	183	958	157894	PT17M2S	1022
PHntQF9puRM	2019-11-11T09:22:02.000Z	['Хiаомi', 'realme', 'redmi', 'honor', 'note', 'pro', 'realme 5', 'realme 5 pro', 'недорогой смартфон', 'бюджетный смартфон', '48 мегапикселей', '48 mpix', '4 камеры']	10791	330	1177	166181	PT20M52S	1252
0O7mOp_m9x8	2019-11-10T19:04:51.000Z	['NZXT H510 Elite', 'NZXT H700i', 'выбор корпуса для ПК', 'сборка компьютера', 'как собирается ПК']	8478	185	981	67132	PT12M14S	734
TRved-Wqs3k	2019-11-07T21:52:06.000Z	['Ryzen 5 3500 vs 3600X', 'ryzen 5 3500 vs 2600X', 'Ryzen 5 3500 vs 8400', 'ryzen 5 vs core i5 8400', 'тест процессоров', 'какой процессор выбрать', 'стоит ли покупать райзен']	9082	126	992	125941	PT10M37S	637
0IG3tKZ8gWY	2019-11-02T05:33:54.000Z	['GeForce GTX 1660 Super', 'GeForce GTX 1660 Ti', 'GeForce GTX 1660', 'RX 5700', 'GTX 1660 vs 1660 Super', 'GTX 1660 Super vs GTX 1660 Ti', 'выбор видеокарты', 'какую видеокарту выбрать']	12176	206	1340	238400	PT13M7S	787
IhtO9BZ0RMM	2019-11-01T13:07:11.000Z	['Что такое RCS', 'RCS vs SMS', 'RCS vs СМС', 'отправка RCS', 'чем RCS отличается от SMS', 'Тест термопаст', 'Ryzen 5 3500', 'Arctic Cooling MX-4', 'Gelid GC Extreme', 'Noctua NT-H1', 'GD900', 'Cryorig CP-5']	9726	206	636	69637	PT9M41S	581
HqJq_NGyQq8	2019-10-30T19:13:33.000Z	['ИТ', 'технологии', 'IT', 'Intel', 'OCLab', 'Smoke оверклокер', 'pro hi tech']	8724	114	981	81422	PT27M47S	1667
tvq34ugqGgs	2019-10-28T19:35:23.000Z	['тест термопаст', 'какую термопасту выбрать', 'выбор термопасты', 'что происходит с термопастой', 'Arctic Cooling MX-4', 'Gelid GC Extreme', 'Noctua NT-H1', 'GD900', 'Cryorig CP-5']	11871	248	1223	123208	PT9M28S	568
u_o3C707__4	2019-10-27T12:12:17.000Z	['Nvidia занижает', 'nvidia старый драйверы', 'тест скорости работы драйверов', 'nvidia drivers test']	12980	318	1698	169276	PT12M37S	757
9VhKUSDnTIs	2019-10-24T15:14:35.000Z	['про хай-тек', 'pro hi-tech', 'новости технологий', 'новости IT', 'новости науки', 'редактирование генома', 'CRISPR', 'Turing GTX 1060', 'GTX 1650 Ti', 'GTX 1650 Super', 'Intel Tremont', 'Intel Lakefield']	6511	141	530	76931	PT8M29S	509
UA9wgMVmovw	2019-10-23T18:21:25.000Z	['geforce now', 'gfn.ru', 'nvidia now', 'облачный гейминг', 'потоковый гейминг']	9787	175	2095	136204	PT10M43S	643
xXQKWNi3YiM	2019-10-20T09:57:02.000Z	['оперативная память', 'как выбрать оперативку', 'выбор ОЗУ', 'разгон памяти', 'тайминги и субтайминги']	11734	130	1039	114917	PT8M3S	483
BbtL_A1AmWQ	2019-10-18T07:03:30.000Z	['лекарство от рака', 'Yale', 'immune therapy cancer', 'новости IT', 'новости технологий', 'новости медицины', 'linux уязвимость sudo', 'Pixel 4', 'Pixel 4 XL', 'New Ear Buds', 'Nest WiFi', 'презентация google']	6179	140	472	49366	PT8M10S	490
v1UI-qsH9c0	2019-10-17T15:30:16.000Z	['PCI Express 6.0', 'GenZ', 'OpenCAPI', 'Nvidia GTX 1660 Super', 'новости IT', 'новости технологий', 'новости электроники', 'новые аккумуляторы', 'технологии аккумуляторов', 'аккумулятор будущего']	9404	250	653	110939	PT7M34S	454
UgvwxkaTa4M	2019-10-15T09:00:48.000Z	['процессор интел', 'процессор intel', 'какой процессор выбрать', 'новости технологий', 'новости IT', 'pro hi-tech', 'про выс-тех']	7677	97	571	83855	PT6M23S	383
YWkeqcNY1c0	2019-10-14T17:43:52.000Z	['Ryzen 7 3800X', 'Ryzen 7 3700X', 'тест процессора райзен', 'тест процессора амд', 'стоит ли покупать райзен', 'стоит ли покупать амд', 'как выбрать процессор', 'выбор процессора']	12991	268	1213	177774	PT12M4S	724
Am11xdXwbH0	2019-10-11T18:38:55.000Z	['Windows 10X', 'Windows Santorini', 'Windows 10 Lite', 'LiteOS', 'Microsoft Surface Neo']	20619	1489	2566	442781	PT13M27S	807
ahUv25Vaj3Q	2019-10-10T08:53:51.000Z	['новости технологий', 'новости IT', 'новости техники', 'новости электроники', 'pro hi-tech', 'сергей сафонов']	10289	165	666	117087	PT8M47S	527
U7iuqNmWI4Y	2019-10-09T09:38:10.000Z	['7nm amd vs 16nm nvidia', '7nm amd vs 12nm nvidia', 'важны ли нанометры', 'гонка нанометров', '7nm tsmc', 'техпроцесс видеокарты', 'amd vs nvidia', 'выбор видеокарты', 'какую видеокарту выбрать', 'сколько потребляет компьютер', 'сколько потребляет энергии пк', 'сколько энергопотребление GPU']	11458	248	1294	137326	PT14M46S	886
ZLGQ7kJCqjw	2019-10-08T00:09:42.000Z	['RX 5500', 'RX 5500M', 'Nvidia Ampere', 'AMD RDNA', 'AMD Navi', 'Nvidia RTX 3000', 'NVIDIA GTX 3000', 'новости технологии', 'новости IT']	6337	141	656	85011	PT8M16S	496
CwTkkwqgYFs	2019-10-07T13:02:58.000Z	['в чем отличия xeon и xeon w', 'в чем отличия xeon и обычных процессоров', 'чем отличаются зеоны', 'интел ксеон', 'интел зион', 'интел зеон', 'intel xeon w-2295', 'intel xeon glacier falls', 'intel xeon 2000', 'xeon vs core x i9', 'новости технологий', 'новые процессоры']	7800	103	662	82906	PT9M1S	541
pYmMVcHXCVE	2019-09-27T12:13:06.000Z	"['тест Radeon RX 540X', 'Radeon vs Intel Iris Plus', 'дискретная графика против встроенной', 'дискретная графика или интегрированная', 'какую видеокарту выбрать', 'Intel NUC8', 'Intel Nuc отзывы', 'Intel NUC7', 'nuc8i7inh', 'i7-8565U', 'NUC7I7BNH', 'i7-7567U', 'Iris Plus 650', 'Stalker', 'Brutal Legend', 'CS:GO', 'Apex Legends', 'Fortnite', 'Dota 2', 'PUBG', 'The Division 2', ""Assassin's Creed Odyssey"", 'World of Tanks', 'War Thunder', 'Borderlands 3', 'The Surge 2', 'Gears 5', 'Alan Wake', 'Control', 'Wolfenstein Youngblood', 'Metro Exodus']"	5154	171	398	77459	PT15M55S	955
oKUAffNeVaQ	2019-09-23T23:57:59.000Z	['AMD Radeon RX 5500', 'AMD Radeon RX 5600', 'AMD Radeon RX 5300 XT', 'выбор видеокарты', 'какую видеокарту выбрать', 'Ryzen 9 3950X', '7 нанометров', 'Apple и USB-C', 'PS5 Pro', 'PlayStation 5 Pro', 'новости IT', 'новости технологий', 'про хай-тек', 'pro hi-tech', 'илья корнейчук']	7043	160	792	80873	PT10M39S	639
2i8xXTAMQ-U	2019-09-16T14:17:05.000Z	['RX 5700 flashing', 'RX 5700 to 5700 XT flash', 'RX 5700 перепрошивка', 'биос rx 5700 XT', 'прошивка 5700', 'Rx 5700 vs RTX 2060 Super', 'тест mGPU', 'какую видеокарту выбрать', 'какую видеокарту купить']	10156	202	1080	174743	PT15M9S	909
VINsEsKGDxw	2019-09-11T00:12:53.000Z	['apple', 'презентация apple', 'презентация iphone 11', 'презентация apple на русском']	4818	217	834	93712	PT13M12S	792
gtCD1ZdxcM4	2019-09-10T09:04:10.000Z	['i7-9750H', 'RTX 2080', 'Omen 17', 'HP Omen 17', 'Omen 17 2019', 'какой ноутбук выбрать', 'выбор ноутбука']	3848	159	548	55830	PT19M46S	1186
2dJ2lN0sLig	2019-09-08T12:30:01.000Z	['HiSilicon Kirin 990 5G vs Snapdragon 855', 'HiSilicon Kirin 990 5G', 'HiSilicon Kirin 990', 'Intel Glacier Falls', 'Intel Cascade Lake X', 'Intel 2066', 'Intel x299', '3600', '3700', '3800', '3900', 'Ryzen Agesa', 'Ryzen', 'AMD Ryzen']	6428	136	555	79679	PT10M17S	617
MTL3fvHloo0	2019-09-04T11:05:38.000Z	['Xbox One X2 vs PlayStation 5', 'Xbox Scarlett vs PS5', 'Xbox One X и PS4 Pro', 'Xbox One X vs PlayStation 4 Pro', 'какая консоль круче', 'консоль или ПК', 'какую консоль выбрать', 'где лучше графика', 'телевизор 4K', '4K ТВ', 'жизнь Pro Hi Tech', 'разбился телевизор']	8055	1859	1588	86988	PT18M43S	1123
bVN-2KjoaRg	2019-08-29T16:07:45.000Z	['AMD Ryzen 3400G', 'Ryzen 3400G vs 2400G', 'Ryzen с Vega', 'Ryzen 2200G']	10673	154	898	124835	PT12M23S	743
fEd5PUvV8Ow	2019-08-27T08:31:08.000Z	['ноутбук с десктопным железом', 'мощный ноутбук для работы', 'мощный ноутбук для игр', 'какой ноутбук самый лучший', 'выбор ноутбука', 'как выбрать ноутбук', 'Сергей Сафонов', 'Pro Hi-Tech']	14029	510	1484	333675	PT18M28S	1108
WglShEJm3Ok	2019-08-23T22:17:37.000Z	['CyberPunk 2077', 'КиберПанк 2077', 'Marthe Jonkers', 'Марта Йонкерс', 'Марта Джонкерс', 'Киану Ривз', 'Джонни Сильверхенд']	6676	113	589	61775	PT10M44S	644
QJ9n0SV-vlc	2019-08-23T08:06:05.000Z	['pro hi-tech интервью', 'Jackie Hsu asus', 'Rajinder Gill asus', 'ROG Chakram', 'ROG Strix Go 2.4', 'ROG Strix XG43UQ', 'XG27UQ', 'ROG Rampage VI Extreme Encore', 'ROG Strix X299-E Gaming II']	5640	91	571	61835	PT26M1S	1561
aetI91EB6UU	2019-08-20T15:42:58.000Z	['Control', 'Vampire Bloodline 2', 'Колда', 'Метро Two Colones', 'Watch Dogs Legion', 'Minecraft RTX', 'Deliver Us The Moon']	5251	125	516	59382	PT16M36S	996
a4DzQ55JvYI	2019-08-16T11:23:25.000Z	['raja koduri', 'раджа кодури', 'интервью', 'interview', 'intel', 'amd', 'ray tracing', 'pro hi tech', 'илья корнейчук', 'сергей сафонов', 'ilya korneychuk', 'sergey safonov']	4211	64	252	46653	PT30M32S	1832
lWUUSPNAo1I	2019-08-15T09:12:25.000Z	['honor 20', 'honor 20 pro', 'honor 20 pro обзор', 'honor 20 обзор', 'imx586', 'imx586 sony', 'raw на телефоне', 'смартфон 2019', 'лучший камерофон', 'вся правда про honor', 'dng на смартфоне', 'raw в смартфоне', 'снимаем на телефон как на зеркалку', 'тест бороды', 'рыжая борода', 'Серега борода', 'Илья борода', 'Сергей Сафонов', 'honor 20 unboxing', 'honor 20 pro распаковка', 'хонор 20 про', 'хонор 20 про обзор', 'камера honor 20 pro', 'honor 20 pro camera', 'honor 20 pro review']	11797	365	1288	247671	PT20M11S	1211
Rjs_t0tULDA	2019-08-11T16:51:16.000Z	['i7-975 in 2019 games', 'i7-950 in 2019 games', 'i7-950 в новых играх', 'i7-975 в новых играх', 'i7-975 test', 'i7-950 test']	5247	459	823	65075	PT5M7S	307
3xnSY9B190I	2019-08-08T22:52:31.000Z	['Видеоигры агрессия', 'компьютерные игры агрессия', 'игры поведение', 'игры опасность', 'что плохого в играх', 'исследования про игры']	6872	202	839	78576	PT6M37S	397
vWkFn6WgH-M	2019-08-08T07:49:56.000Z	['Ryzen 5 3600', 'Ryzen 5 3600X', 'Ryzen 5 3600x vs 2600x', 'Ryzen 5 3600x vs i5-8400', 'Ryzen 5 3600x vs i5-9600K']	14096	305	1760	287659	PT15M38S	938
vRziDbrBk8w	2019-08-04T15:19:12.000Z	['ноутбук zet', 'ноутбук dns', 'ноутбук днс', 'выбор ноутбука', 'ноутбук alienware', 'Alienware 17 R5', 'Zet Ward m110']	7709	224	1042	97075	PT16M	960
Ykrpa9xYEXA	2019-08-03T16:53:51.000Z	['тесты 1080p vs 720p', 'ryzen 3000 разгон', 'zen2 разгон', 'ryzen 3700 overclocking', 'ryzen 3900 overclocking']	7987	179	1641	68384	PT8M36S	516
KWFAQFguMBU	2019-08-01T13:03:40.000Z	['Майкрософт', 'Гитхаб', 'Microsoft', 'Github', 'гитхаб санкции', 'github sanctions', 'Intel Ice Lake', 'Intel Summy Cove', 'Alibaba RISC-V CPU', 'новости ИТ', 'новости технологий', 'Core i7-1065G7', 'Core i5-1035G7', 'Core i5-1035G4', 'Core i5-1035G1', 'Core i5-1034G1', 'Core i3-1005G1', 'Core i7-10710U', 'Core i7-10510U', 'Core i5-10210U', 'Core i3-10110U']	6639	223	640	81373	PT6M59S	419
O_17IkeueyY	2019-07-28T10:09:04.000Z	['Zephyrus S GX502', 'Zephyrus M GU502', 'Strix Scar III G531', 'Strix III G731', 'Strix G GL531', 'GL731', 'ноутбуки ASUS', 'какой ноутбук выбрать', 'ASUS Hero III', 'ASUS SCAR III']	5569	220	608	70868	PT10M3S	603
e984GIKrxYI	2019-07-23T14:33:26.000Z	['RTX 2080 Super', 'RTX 2070 Super', 'RTX 2080 Ti', 'Radeon VII', 'Radeon 7', 'Vega 7', 'какую видеокарту выбрать', 'выбор видеокарты', 'тест видеокарт', 'нвидия или амд', 'нвидия или радеон', 'nvidia vs radeon', 'nvidia vs amd', 'nvidia super', 'какую видеокарту купить', 'самая мощная видеокарта', 'какая видеокарта самая быстрая в играх', 'nvidia super vs ti']	6690	172	720	85711	PT8M10S	490
sNn262F1gow	2019-07-16T14:00:15.000Z	['какую видеокарту выбрать', 'выбор видеокарты', 'тест видеокарт', 'нвидия или амд', 'нвидия или радеон', 'nvidia vs radeon', 'nvidia vs amd', 'nvidia super', 'какую видеокарту купить']	11645	364	1423	195978	PT16M34S	994
RXgqDjzlcms	2019-07-14T17:05:38.000Z	['Ryzen 3900X x570 vs b350', 'Ryzen 3700X x570 vs b350', 'AMD Zen2 на старых материнских платах', 'Ryzen 3000 на материнской плате B350']	15964	258	1547	238976	PT16M13S	973
8pfiLZxRNwM	2019-07-07T13:02:45.000Z	['AMD Radeon RX 5700 XT', 'AMD Radeon RX 5700', 'RTX 2070', 'RTX 2060', 'RX 590', 'GTX 1080 Ti', 'тест видеокарт', 'Выбор видеокарты для игр', 'видеокарта navi', 'видеокарта rdna', 'rdna vs gcn']	14827	466	1348	272063	PT13M36S	816
